"bol","sc","cat"
"བཀའ་འགྱུར་བླ་མ་བློ་བཟང་དབང་ཕྱུག","1","http://purl.bdrc.io/ontology/core/Person"
"རྒྱལ་བའི་བཀའ་འགྱུར་ཡིད་བཞིན་ནོར་བུ།","6","http://purl.bdrc.io/ontology/core/Work"
"བཀའ་འགྱུར་ཀློག་སྐབས་དྲན་གསོར་བྲིས་པ།","9","http://purl.bdrc.io/ontology/core/Work"
"བཀའ་འགྱུར་དཀར་ཆག་བོད་རྒྱ་ཤན་སྦྱར།","6","http://purl.bdrc.io/ontology/core/Work"
"བཀའ་འགྱུར་གསེར་བྲིས་བཞེངས་དུས་ཀྱི་དགེ་བསྔོ་།","6","http://purl.bdrc.io/ontology/core/Work"
"ཕུག་བྲག་བཀའ་འགྱུར་བྲིས་མའི་དཀར་ཆག","6","http://purl.bdrc.io/ontology/core/Work"
"བཀའ་འགྱུར་གྱི་སྙིང་པོ་བསྡུས་པའི་གཟུངས།","6","http://purl.bdrc.io/ontology/core/Work"
"བཀའ་འགྱུར་གྱི་སྙིང་པོ་བསྡུས་པའི་གཟུངས།","8","http://purl.bdrc.io/ontology/core/Work"
"གཡུང་དྲུང་བོན་གྱི་བཀའ་འགྱུར་དཀར་ཆག","6","http://purl.bdrc.io/ontology/core/Work"
"བཀའ་འགྱུར་ཀློག་སྐབས་དྲན་གསོར་བྲིས་དེབ།","9","http://purl.bdrc.io/ontology/core/Work"
"ཐེག་ཆེན་གཡུང་དྲུང་བོན་གྱི་བཀའ་འགྱུར།","6","http://purl.bdrc.io/ontology/core/Work"
"བཀའ་འགྱུར་རྒྱུད་སྡེའི་སྐོར་པོད་ལྔ་པ།","6","http://purl.bdrc.io/ontology/core/Work"
"བཀའ་འགྱུར་རོ་ཅོག་གི་གཟུངས་བསྡུས་པའི་སྙིང་པོ།","27","http://purl.bdrc.io/ontology/core/Work"
"བཀའ་འགྱུར་རོ་ཅོག་གི་སྙིང་པོ་བསྡུས་པའི་གཟུངས།","27","http://purl.bdrc.io/ontology/core/Work"
"བཀའ་འགྱུར་བ་ཆེན་པོ་དཀོན་མཆོག་དཔལ་འཛིན།","21","http://purl.bdrc.io/ontology/core/Person"
"ཨ་མདོ་རྭ་རྒྱའི་བཀའ་འགྱུར་གྱི་དཀར་ཆག","6","http://purl.bdrc.io/ontology/core/Work"
"བཀའ་འགྱུར་རྒྱལ་རྩེ་ཐེམ་སྤང་མའི་དཀར་ཆག","6","http://purl.bdrc.io/ontology/core/Work"
"བཀའ་འགྱུར་རོ་ཅོག་གི་སྙིང་པོ་བསྡུས་པའི་གཟུངས།","27","http://purl.bdrc.io/ontology/core/Work"
"བཀའ་འགྱུར་བ་མགོན་པོ་བསོད་ནམས་མཆོག་ལྡན།","203","http://purl.bdrc.io/ontology/core/Person"
"བཀའ་འགྱུར་རིན་པོ་ཆེའི་མཚན་ཐོ་དང་རྒྱལ་བའི་བཀའ་འགྱུར་རིན་པོ་ཆེའི་ཆོས་ཚན་སོ་སོའི་མཚན་བྱང་དཀར་ཆག་བསྡུས་པ།","6","http://purl.bdrc.io/ontology/core/Work"
"ཏྲེ་ཧོ་བཀའ་འགྱུར་བ ༠༡་བློ་བཟང་དོན་ལྡན།","1","http://purl.bdrc.io/ontology/core/Person"
"རེབ་ཚ་བཀའ་འགྱུར་དཀོན་མཆོག་དམ་ཆོས་ཡར་འཕེལ།","47","http://purl.bdrc.io/ontology/core/Person"
"བཀའ་འགྱུར་དཔེ་བསྡུར་མ་དེབ་ང་གཉིས་པའི་དཀར་ཆག","81","http://purl.bdrc.io/ontology/core/Work"
"བཀའ་འགྱུར་རིན་པོ་ཆེའི་དཀར་ཆག་ལས་འདུལ་བའི་སྐོར།","6","http://purl.bdrc.io/ontology/core/Work"
"བཀའ་འགྱུར་བླ་མ་བློ་བཟང་ཆོས་འཕེལ་གྱི་རྣམ་ཐར།","6","http://purl.bdrc.io/ontology/core/Work"
"རྗེ་བཀའ་འགྱུར་བ་དགའ་ལྡན་བསྟན་འཛིན་གྱི་རྣམ་ཐར།","6","http://purl.bdrc.io/ontology/core/Work"
"རྒྱལ་བའི་བཀའ་འགྱུར་རིན་པོ་ཆེའི་བཞུགས་བྱང་དཀར་ཆག","6","http://purl.bdrc.io/ontology/core/Work"
"གཟུངས་བསྡུས་བཀའ་འགྱུར་དང་བསྟན་འགྱུར་བཤད་པ་ལེའུ་སོགས།","6","http://purl.bdrc.io/ontology/core/Work"
"བཀའ་འགྱུར་བ་དགེ་སློང་ཡོན་ཏན་རྒྱ་མཚོའི་མཚན་བསྟོད།","6","http://purl.bdrc.io/ontology/core/Work"
