"bol","sc","cat"
"རྒྱལ་བའི་བཀའ་འགྱུར་རིན་པོ་ཆེ་ལས། བཀའ་བར་ཐ་ཟབ་རྒྱས་ངེས་དོན་མདོ་སྡེའི་སྐོར། འཕགས་པ་ལང་ཀར་གཤེགས་པའི་ཐེག་པ་ཆེན་པོའི་མདོ།","9","http://purl.bdrc.io/ontology/core/Work"
"ཨོཾ་འཕགས་པ་གུ་རུ་པདྨ་འབྱུང་གནས་གཏེར་བཀའ། རིན་པོ་ཆེ་གཟུངས་བསྡུས་བཀའ་འགྱུར་དང་བསྟན་འགྱུར་བཤད་པ་ལེའུ་ཞེས་བྱ་བ་གཟུངས་སོགས།","6","http://purl.bdrc.io/ontology/core/Work"
"རྒྱལ་བའི་བཀའ་འགྱུར་རིན་པོ་ཆེ་ལས། བཀའ་བར་ཐ་ཟབ་རྒྱས་ངེས་དོན་མདོ་སྡེའི་སྐོར། འཕགས་པ་ཡོངས་སུ་མྱ་ངན་ལས་འདས་པ་ཆེན་པོའི་མདོ།","6","http://purl.bdrc.io/ontology/core/Work"
"རྒྱལ་བའི་བཀའ་འགྱུར་རིན་པོ་ཆེ་ལས། བཀའ་བར་ཐ་ཟབ་རྒྱས་ངེས་དོན་མདོ་སྡེའི་སྐོར། འཕགས་པ་ཡོངས་སུ་མྱ་ངན་ལས་འདས་པ་ཆེན་པོའི་མདོ།","6","http://purl.bdrc.io/ontology/core/Work"
"རྒྱལ་བའི་བཀའ་འགྱུར་རིན་པོ་ཆེ་ལས། བཀའ་བར་ཐ་ཟབ་རྒྱས་ངེས་དོན་མདོ་སྡེའི་སྐོར། འཕགས་པ་ཡོངས་སུ་མྱ་ངན་ལས་འདས་པ་ཆེན་པོའི་མདོ།","6","http://purl.bdrc.io/ontology/core/Work"
"རྒྱལ་བའི་བཀའ་འགྱུར་རིན་པོ་ཆེ་ལས། བཀའ་བར་ཐ་ཟབ་རྒྱས་ངེས་དོན་མདོ་སྡེའི་སྐོར། འཕགས་པ་ཡོངས་སུ་མྱ་ངན་ལས་འདས་པ་ཆེན་པོའི་མདོ།","6","http://purl.bdrc.io/ontology/core/Work"
"རྒྱལ་བའི་བཀའ་འགྱུར་རིན་པོ་ཆེའི་འབྲི་ཀློག་དན་འཆད་ནན་བྱེད་མཁན་རྣམས་ལ་ནེ་བར་མཁོ་བའི་ཡི་གེ་གཟན་ཕན་རྣམ་དག་གི་གསལ་བྱེད་མེ་ལོན།","6","http://purl.bdrc.io/ontology/core/Work"
"ཨོམ་འཕགས་པ་གུ་རུ་པདྨ་འབྱུང་གནས་གཏེར་བཀའ། རིན་པོ་ཆེ་གསུངས་བསྡུས་བཀའ་འགྱུར་དང་བསྟན་བཅོས་བཤད་པའི་ལེའུ་ཞེ་བྱ་བ་གཟུངས་སོགས།","6","http://purl.bdrc.io/ontology/core/Work"
"གཟུངས་སྔགས་དང་༑༑་དེ་བཞིན་གཤེགས་པའི་མཚན་བཀའ་འགྱུར་སྙིང་པོ་སོགས་ཁ་འདོན་བྱེད་རྒྱུ་ཟབ་མོའི་རིགས་ཕྱོགས་གཅིག་ཏུ་བཀོད་པ་དོན་གཉིས་ལྷུན་གྲུབ།","6","http://purl.bdrc.io/ontology/core/Work"
"གཟུངས་སྔགས་དང་། དེ་བཞིན་གཤེགས་པ་མཚན། བཀའ་འགྱུར་སྙིང་པོ་སོགས་པ་འདོན་བྱེད་རྒྱུ་ཟབ་མོའི་རིགས་ཕྱོགས་གཅིག་བགོད་པ་དོན་གཉིས་ལྷུན་གྲུབ་སོགས།","6","http://purl.bdrc.io/ontology/core/Work"
"གཟུངས་སྔགས་དང་། དེ་བཞིན་གཤེགས་པའི་མཚན། བཀའ་འགྱུར་སྙིང་པོ་སོགས་ཁ་འདོན་བྱེད་རྒྱུ་ཟབ་མོའི་རིགས་ཕྱོགས་གཅིག་ཏུ་བཀོད་པ་དོན་གཉིས་ལྷུན་གྲུབ་སོགས།","21","http://purl.bdrc.io/ontology/core/Work"
"གཟུངས་སྔགས་དང་། དེ་བཞིན་གཤེགས་པའི་མཚན། བཀའ་འགྱུར་སྙིང་པོ་སོགས་ཁ་དོན་བྱེད་རྒྱུ་ཟབ་མོའི་རིགས་ཕྱོགས་གཅིག་ཏུ་བཀོད་པ་དོན་གཉིས་ལྷུན་གྲུབ་སོགས།","6","http://purl.bdrc.io/ontology/core/Work"
"གཟུངས་སྔགས་དང་དེ་བཞིན་གཤེགས་པའི་མཚན་བཀའ་འགྱུར་སྙིང་པོ་སོགས་ཁ་འདོན་བྱེད་རྒྱུ་ཟབ་མོའི་རིགས་ཕྱོགས་གཅིག་ཏུ་བཀོད་པ་དོན་གཉིས་ལྷུན་གྲུབ་ཅེས་བྱ་བ།","6","http://purl.bdrc.io/ontology/core/Work"
"རྒྱལ་བའི་བཀའ་འགྱུར་རིན་པོ་ཆེ་ལས། བཀའ་བར་ཐ་ཟབ་རྒྱས་ངེས་དོན་མོད་སྡེའི་སྐོར། འཕགས་པ་དགོངས་པ་ངེས་པར་འགྲེལ་པ་དང་འཕགས་པ་ཆོས་ཡང་དག་པར་སྡུད་པའི་མདོ།","6","http://purl.bdrc.io/ontology/core/Work"
"རྒྱལ་བའི་བཀའ་འགྱུར་རིན་པོ་ཆེ་ལས། བཀ་བར་ཐ་ཟབ་རྒྱས་ངེས་དོན་མདོ་སྡེའི་སྐོར། འཕགས་པ་གསེར་འོད་དམ་པ་མདོ་སྡེའི་དབང་པོའི་རྒྱལ་པོ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ།","9","http://purl.bdrc.io/ontology/core/Work"
"rwa lung du lo gsum sku mtshams la bzhugs pa'i dus nyin gyi gung thun la bka' 'gyur gzigs pa'i thun lung khungs khol du zin bris su 'debs pa/","6","http://purl.bdrc.io/ontology/core/Work"
"རྒྱལ་བའི་བཀའ་འགྱུར་རིན་པོ་ཆེ་ལས། བཀའ་བར་ཐ་ཟབ་རྒྱས་ངེས་དོན་མདོ་སྡེའི་སྐོར། འཕགས་པ་གསེར་འོད་དམ་པ་མཆོག་ཏུ་རྣམ་པར་རྒྱལ་བའི་མདོ་སྡེའི་རྒྱལ་པོ་ཐེག་པ་ཆེན་པོའི་མདོ།","6","http://purl.bdrc.io/ontology/core/Work"
"ཆོས་ཀྱི་རྒྱལ་པོ་ཆེན་པོ་ཀརྨ་མི་ཕམ་ཚེ་དབང་བསོད་ནམས་རབ་བརྟན་ཞེས་བྱ་བས་བདེ་བར་གཤེགས་པའི་བཀའ་འགྱུར་རོ་འཚལ་ཆོས་ཀྱི་ཕྱི་མོ་མི་ཟད་པའི་པར་དུ་བཞེངས་པའི་འབྱུང་བ་བརྗོད་པ།","6","http://purl.bdrc.io/ontology/core/Work"
"རྒྱལ་བའི་བཀའ་འགྱུར་རིན་པོ་ཆེ་ལས། བཀའ་བར་ཐ་ཟབ་རྒྱས་ངེས་དོན་མདོ་སྡེའི་སྐོར། འཕགས་པ་དེ་བཞིན་གཤེགས་པའི་སྙིང་རྗེ་ཆེན་པོ་ངེས་པར་བསྟན་པ་ཞེས་བྱ་བའི་ཐེག་པ་ཆེན་པོའི་མདོ།","6","http://purl.bdrc.io/ontology/core/Work"
"རྒྱལ་བའི་བཀའ་འགྱུར་རིན་པོ་ཆེ་ལས། བཀའ་བར་ཐ་ཟབ་རྒྱས་ངེས་དོན་མདོ་སྡེའི་སྐོར། འཕགས་པ་དཀོན་མཆོག་སྤྲིན་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ་དང་མདོ་ཆེན་པོ་སྟོང་པ་ཉིད་ཆེན་པོ་ཞེས་བྱ་བ།","6","http://purl.bdrc.io/ontology/core/Work"
"རྒྱལ་བའི་བཀའ་འགྱུར་རིན་པོ་ཆེ་ལས། བཀའ་བར་ཐ་ཟབ་རྒྱས་ངེས་དོན་མདོ་སྡེའི་སྐོར། འཕགས་པ་རྒྱན་སྟུག་པོ་བཀོད་པ་དང་འཕགས་པ་རབ་ཏུ་ཞི་བ་རྣམ་པར་ངེས་པའི་ཆོ་འཕྲུལ་གྱི་ཏིང་ངེ་འཛིན་གྱི་མདོ།","6","http://purl.bdrc.io/ontology/core/Work"
"རྒྱལ་བའི་བཀའ་འགྱུར་རིན་པོ་ཆེ་ལས། བཀའ་བར་ཐ་ཟབ་རྒྱས་ངེས་དོན་མདོ་སྡེའི་སྐོར། ཤིན་ཏུ་རྒྱས་པ་ཆེན་པོའི་མདོ། སངས་རྒྱས་ཕལ་པོ་ཆེ་ཞེས་བྱ་བ་ལས། བྱང་ཆུབ་སེམས་དཔའི་སྡེ་སྣོད་སྡོང་པོ་བཀོད་པའི་བརྒྱན་པ།","6","http://purl.bdrc.io/ontology/core/Work"
"རྒྱལ་བའི་བཀའ་འགྱུར་རིན་པོ་ཆེ་ལས། བཀའ་བར་ཐ་ཟབ་རྒྱས་ངེས་དོན་མདོ་སྡེའི་སྐོར། ཤིན་ཏུ་རྒྱས་པ་ཆེན་པོའི་མདོ། སངས་རྒྱས་ཕལ་པོ་ཆེ་ཞེས་བྱ་བ་ལས། བྱང་ཆུབ་སེམས་དཔའི་སྡེ་སྣོད་ཀྱི་ནང་སྡོང་པོ་བཀོད་པའི་བརྒྱན་པ།","6","http://purl.bdrc.io/ontology/core/Work"
"རྒྱལ་བའི་བཀའ་འགྱུར་རིན་པོ་ཆེ་ལས། བཀའ་བར་ཐ་ཟབ་རྒྱས་ངེས་དོན་མདོ་སྡེའི་སྐོར། ཤིན་ཏུ་རྒྱས་པ་ཆེན་པོའི་མདོ། སངས་རྒྱས་ཕལ་པོ་ཆེ་ཞེས་བྱ་བ་ལས། བྱང་ཆུབ་སེམས་དཔའི་སྡེ་སྣོད་ཀྱི་ནང་སྡོང་པོ་བཀོད་པའི་བརྒྱན་པ།","6","http://purl.bdrc.io/ontology/core/Work"
